local_authority_highway,local_authority_name,collisions,serious_or_fatal,slight,serious_fatal_rate_pct
S12000034,Aberdeenshire,697,434,263,62.27
S12000017,Highland,1160,642,518,55.34
S12000048,Perth & Kinross,716,341,375,47.63
S12000038,Renfrewshire,594,248,346,41.75
S12000029,South Lanarkshire,1149,478,671,41.6
W06000002,Gwynedd,642,265,377,41.28
S12000006,Dumfries & Galloway,831,340,491,40.91
S12000041,Angus,532,213,319,40.04
W06000021,Monmouthshire,503,197,306,39.17
S12000047,Fife,1221,476,745,38.98
S12000040,West Lothian,754,275,479,36.47
S12000050,North Lanarkshire,1051,382,669,36.35
W06000003,Conwy,595,214,381,35.97
W06000023,Powys,1500,538,962,35.87
S12000049,Glasgow City,2915,1033,1882,35.44
E08000016,Barnsley,1774,623,1151,35.12
E06000047,Durham,2430,853,1577,35.1
S12000042,Dundee City,660,229,431,34.7
W06000018,Caerphilly,767,265,502,34.55
E06000064,Westmorland and Furness,819,275,544,33.58
E08000018,Rotherham,2005,666,1339,33.22
E10000013,Gloucestershire,4480,1486,2994,33.17
E10000017,Lancashire,10379,3424,6955,32.99
W06000004,Denbighshire,602,197,405,32.72
E06000005,Darlington,565,184,381,32.57
E08000017,Doncaster,2750,890,1860,32.36
E06000051,Shropshire,1864,596,1268,31.97
W06000008,Ceredigion,735,234,501,31.84
E08000019,Sheffield,3889,1227,2662,31.55
E10000006,Cumbria,2352,740,1612,31.46
W06000005,Flintshire,772,241,531,31.22
S12000036,City of Edinburgh,2356,735,1621,31.2
E06000057,Northumberland,2095,651,1444,31.07
W06000009,Pembrokeshire,1008,312,696,30.95
E06000009,Blackpool,1502,464,1038,30.89
E06000003,Redcar and Cleveland,626,192,434,30.67
E09000001,City of London,769,234,535,30.43
E10000018,Leicestershire,3383,1024,2359,30.27
E08000010,Wigan,1224,370,854,30.23
E10000011,East Sussex,5452,1631,3821,29.92
W06000010,Carmarthenshire,1514,452,1062,29.85
E06000008,Blackburn with Darwen,1446,431,1015,29.81
E06000046,Isle of Wight,1201,357,844,29.73
W06000022,Newport,816,242,574,29.66
E08000033,Calderdale,1659,487,1172,29.36
W06000006,Wrexham,661,194,467,29.35
E06000019,"Herefordshire, County of",1508,441,1067,29.24
E06000063,Cumberland,838,244,594,29.12
E08000036,Wakefield,2721,791,1930,29.07
E08000008,Tameside,1014,294,720,28.99
E10000034,Worcestershire,3543,1019,2524,28.76
E10000020,Norfolk,7218,2041,5177,28.28
E08000035,Leeds,6912,1951,4961,28.23
E10000003,Cambridgeshire,5210,1469,3741,28.2
E10000032,West Sussex,8399,2335,6064,27.8
E08000009,Trafford,961,266,695,27.68
E06000020,Telford and Wrekin,773,213,560,27.55
E08000007,Stockport,1095,300,795,27.4
E08000005,Rochdale,989,271,718,27.4
E08000004,Oldham,1054,287,767,27.23
E06000043,Brighton and Hove,2943,798,2145,27.12
E10000021,Northamptonshire,886,239,647,26.98
E10000012,Essex,11313,3044,8269,26.91
E08000034,Kirklees,3159,845,2314,26.75
E10000028,Staffordshire,3520,940,2580,26.7
E06000001,Hartlepool,504,134,370,26.59
E08000032,Bradford,4903,1302,3601,26.56
E10000014,Hampshire,10910,2897,8013,26.55
E06000011,East Riding of Yorkshire,2829,749,2080,26.48
E08000003,Manchester,3325,866,2459,26.05
E10000029,Suffolk,5294,1378,3916,26.03
E06000013,North Lincolnshire,1679,437,1242,26.03
E10000024,Nottinghamshire,6146,1598,4548,26.0
E10000031,Warwickshire,4662,1209,3453,25.93
E06000061,North Northamptonshire,1878,486,1392,25.88
E08000006,Salford,1399,362,1037,25.88
E10000025,Oxfordshire,4397,1133,3264,25.77
E08000002,Bury,918,236,682,25.71
E06000065,North Yorkshire,4974,1275,3699,25.63
E06000033,Southend-on-Sea,1248,315,933,25.24
E10000030,Surrey,12791,3227,9564,25.23
E08000001,Bolton,1555,392,1163,25.21
E06000052,Cornwall excluding Isles of Scilly,4793,1182,3611,24.66
E09000027,Richmond upon Thames,1849,453,1396,24.5
E10000007,Derbyshire,6295,1511,4784,24.0
E10000008,Devon,6119,1466,4653,23.96
E06000059,Dorset,3244,776,2468,23.92
E08000015,Wirral,1977,468,1509,23.67
E08000013,St. Helens,1110,262,848,23.6
E06000012,North East Lincolnshire,1650,387,1263,23.45
E06000004,Stockton-on-Tees,941,220,721,23.38
E06000056,Central Bedfordshire,2526,588,1938,23.28
E10000019,Lincolnshire,7980,1855,6125,23.25
E06000034,Thurrock,1305,301,1004,23.07
E08000027,Dudley,1899,435,1464,22.91
E08000024,Sunderland,1627,370,1257,22.74
E06000044,Portsmouth,2216,500,1716,22.56
E06000002,Middlesbrough,903,203,700,22.48
E06000027,Torbay,936,210,726,22.44
E06000031,Peterborough,1748,391,1357,22.37
E06000045,Southampton,2186,488,1698,22.32
E08000029,Solihull,1229,274,955,22.29
E10000016,Kent,15941,3530,12411,22.14
E06000021,Stoke-on-Trent,1064,231,833,21.71
E08000023,South Tyneside,778,168,610,21.59
E06000016,Leicester,2220,479,1741,21.58
E08000022,North Tyneside,1096,235,861,21.44
E08000037,Gateshead,1328,283,1045,21.31
E06000037,West Berkshire,963,203,760,21.08
E08000011,Knowsley,916,192,724,20.96
E06000055,Bedford,1495,313,1182,20.94
E08000014,Sefton,1670,349,1321,20.9
E10000015,Hertfordshire,8237,1713,6524,20.8
E06000062,West Northamptonshire,2851,589,2262,20.66
E06000060,Buckinghamshire,3226,665,2561,20.61
E06000049,East Cheshire,2894,595,2299,20.56
E06000035,Medway,2447,500,1947,20.43
E08000021,Newcastle upon Tyne,2144,433,1711,20.2
E06000018,Nottingham,3369,679,2690,20.15
E06000010,"Kingston upon Hull, City of",3156,633,2523,20.06
E06000050,West Cheshire,2530,504,2026,19.92
E08000026,Coventry,1990,394,1596,19.8
E08000012,Liverpool,4341,858,3483,19.77
E08000028,Sandwell,2876,565,2311,19.65
E09000033,Westminster,5791,1119,4672,19.32
E08000030,Walsall,1947,375,1572,19.26
E06000040,Windsor and Maidenhead,849,160,689,18.85
E08000025,Birmingham,10817,2016,8801,18.64
E09000021,Kingston upon Thames,1487,276,1211,18.56
E06000036,Bracknell Forest,570,105,465,18.42
E09000028,Southwark,4808,881,3927,18.32
E06000015,Derby,2351,428,1923,18.21
E06000026,Plymouth,1964,356,1608,18.13
E09000022,Lambeth,5337,961,4376,18.01
W06000016,"Rhondda, Cynon, Taff",878,158,720,18.0
E09000024,Merton,2145,385,1760,17.95
E06000007,Warrington,1494,265,1229,17.74
E08000031,Wolverhampton,2109,373,1736,17.69
E06000054,Wiltshire,4298,760,3538,17.68
E06000066,Somerset,3766,666,3100,17.68
E06000058,"Bournemouth, Christchurch and Poole",3442,606,2836,17.61
E06000006,Halton,735,129,606,17.55
E09000018,Hounslow,3318,579,2739,17.45
E09000013,Hammersmith and Fulham,2859,499,2360,17.45
E09000020,Kensington and Chelsea,2974,517,2457,17.38
E09000029,Sutton,1784,309,1475,17.32
E06000032,Luton,1898,326,1572,17.18
E09000032,Wandsworth,4816,820,3996,17.03
E06000042,Milton Keynes,1595,265,1330,16.61
W06000011,Swansea,789,131,658,16.6
E09000004,Bexley,2039,338,1701,16.58
E06000041,Wokingham,854,139,715,16.28
E09000006,Bromley,2985,484,2501,16.21
E09000008,Croydon,4815,769,4046,15.97
E09000019,Islington,2961,466,2495,15.74
E09000011,Greenwich,3083,485,2598,15.73
E09000012,Hackney,4000,615,3385,15.38
E09000007,Camden,3438,527,2911,15.33
E06000024,North Somerset,1262,193,1069,15.29
E09000017,Hillingdon,3072,468,2604,15.23
E06000039,Slough,1100,166,934,15.09
E09000023,Lewisham,3763,564,3199,14.99
E09000030,Tower Hamlets,4949,739,4210,14.93
E06000022,Bath and North East Somerset,805,119,686,14.78
E09000016,Havering,2572,379,2193,14.74
E06000025,South Gloucestershire,1715,247,1468,14.4
E09000003,Barnet,4140,592,3548,14.3
E06000014,York,1481,211,1270,14.25
E09000009,Ealing,4256,596,3660,14.0
E06000038,Reading,1268,174,1094,13.72
E09000025,Newham,4001,547,3454,13.67
E09000015,Harrow,1951,265,1686,13.58
E09000026,Redbridge,3185,426,2759,13.38
W06000015,Cardiff,1331,173,1158,13.0
E09000031,Waltham Forest,2745,356,2389,12.97
E09000002,Barking and Dagenham,2334,276,2058,11.83
E09000014,Haringey,4242,500,3742,11.79
E06000023,"Bristol, City of",4004,472,3532,11.79
E09000005,Brent,4364,509,3855,11.66
E06000030,Swindon,1912,219,1693,11.45
E09000010,Enfield,4630,510,4120,11.02
